# mimeType        name
text/plain;UTF-8  FS_Info.txt
text/plain;UTF-8  FS_References.txt
image/webp        Picture_test_speaker_2_16x4_L.webp
image/webp        Picture_test_speaker_2_16x4_M.webp
image/webp        Picture_test_speaker_2_16x6_L.webp
image/webp        Picture_test_speaker_2_16x6_M.webp
image/webp        Picture_test_speaker_2_16x6_XL.webp
image/webp        Picture_test_speaker_2_16x9_L.webp
image/webp        Picture_test_speaker_2_16x9_M.webp
image/webp        Picture_test_speaker_2_16x9_S.webp
image/webp        Picture_test_speaker_2_4x3_M.webp
image/webp        Picture_test_speaker_2_4x3_S.webp
image/webp        Picture_test_speaker_2_9x16_M.webp
image/jpeg        Picture_test_speaker_2_ORIGINAL.jpeg
text/xml;UTF-8    StoreElement.xml
text/xml          meta.xml
